X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,icon_url
55.492,-4.6796,"149",Seychelles,"1585510967000",-4.6796,55.492,"8","0","0",./5.png
103.8333,1.2833,"150",Singapore,"1585510967000",1.2833,103.8333,"844","3","212",./4.png
19.6990000000001,48.669,"151",Slovakia,"1585510967000",48.669,19.699,"314","0","2",./3.png
14.9955,46.1512000000001,"152",Slovenia,"1585510967000",46.1512,14.9955,"730","11","10",./4.png
46.199616,5.152149,"153",Somalia,"1585510967000",5.152149,46.199616,"3","0","0",./5.png
22.9375,-30.5595,"154",South Africa,"1585510967000",-30.5595,22.9375,"1280","2","31",./1.png
-3.74922,40.4636670000001,"155",Spain,"1585510967000",40.463667,-3.74922,"78799","6606","14709",
80.771797,7.873054,"156",Sri Lanka,"1585510967000",7.873054,80.771797,"117","1","11",./2.png
30.2176000000001,12.8628,"157",Sudan,"1585510967000",12.8628,30.2176,"6","1","0",./5.png
-56.0278,3.9193,"158",Suriname,"1585510967000",3.9193,-56.0278,"8","0","0",./5.png
38.996815,34.8020750000001,"159",Syria,"1585510967000",34.802075,38.996815,"9","1","0",./5.png
121.0,23.7,"160",Taiwan*,"1585469088000",23.7,121,"298","2","30",./3.png
34.888822,-6.369028,"161",Tanzania,"1585510967000",-6.369028,34.888822,"14","0","1",./6.png
100.992541,15.870032,"162",Thailand,"1585510967000",15.870032,100.992541,"1388","7","97",./1.png
125.727539,-8.874217,"163",Timor-Leste,"1585510967000",-8.874217,125.727539,"1","0","0",./5.png
0.8248,8.6195,"164",Togo,"1585510967000",8.6195,0.8248,"25","1","1",./6.png
-61.2225,10.6918000000001,"165",Trinidad and Tobago,"1585510967000",10.6918,-61.2225,"76","3","1",./7.png
9.537499,33.886917,"166",Tunisia,"1585510967000",33.886917,9.537499,"312","8","2",./3.png
35.2433,38.9637000000001,"167",Turkey,"1585510967000",38.9637,35.2433,"9217","131","105",./0.png
32.2902750000001,1.373333,"168",Uganda,"1585510967000",1.373333,32.290275,"33","0","0",./7.png
31.1656,48.3794,"169",Ukraine,"1585510967000",48.3794,31.1656,"418","9","5",./3.png
53.8478180000001,23.424076,"170",United Arab Emirates,"1585510967000",23.424076,53.847818,"570","3","58",./4.png
-55.7657999999999,-32.5228,"171",Uruguay,"1585510967000",-32.5228,-55.7658,"304","1","0",./3.png
64.5852620000001,41.377491,"172",Uzbekistan,"1585510967000",41.377491,64.585262,"144","2","7",./2.png
-66.5896999999999,6.4238,"173",Venezuela,"1585510967000",6.4238,-66.5897,"119","2","39",./2.png
108.277199,14.058324,"174",Vietnam,"1585510967000",14.058324,108.277199,"188","0","25",./2.png
35.2332000000001,31.9522000000001,"175",West Bank and Gaza,"1585510967000",31.9522,35.2332,"108","1","18",./2.png
27.8493320000001,-13.133897,"176",Zambia,"1585510967000",-13.133897,27.849332,"29","0","0",./7.png
29.154857,-19.015438,"177",Zimbabwe,"1585510967000",-19.015438,29.154857,"7","1","0",./5.png
